No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
1,MSFT,Microsoft Corporation,"3,094.18B",416.42,-2.07%,227.58B
2,AAPL,Apple Inc,"2,665.58B",172.62,-0.22%,385.71B
3,NVDA,NVIDIA Corporation,"2,195.91B",878.37,-0.12%,60.92B
4,AMZN,"Amazon.com, Inc.","1,811.77B",174.38,-2.44%,574.79B
5,GOOG,Alphabet Inc.,"1,761.32B",142.17,-1.50%,307.39B
6,GOOGL,Alphabet Inc.,"1,760.56B",141.18,-1.34%,307.39B
7,META,"Meta Platforms, Inc.","1,234.17B",484.10,-1.57%,134.90B
8,BRK.B,Berkshire Hathaway Inc.,885.23B,408.13,0.34%,439.34B
9,LLY,Eli Lilly and Company,716.59B,754.17,-0.86%,34.12B
10,V,Visa Inc.,581.38B,283.04,-1.18%,33.35B
11,AVGO,Broadcom Inc.,572.56B,"1,235.50",-2.12%,38.87B
12,JPM,JPMorgan Chase & Co.,548.13B,190.30,1.24%,158.10B
13,TSLA,"Tesla, Inc.",520.94B,163.57,0.66%,96.77B
14,WMT,Walmart Inc.,488.64B,60.68,-,648.13B
15,UNH,UnitedHealth Group Incorporated,452.50B,490.82,0.37%,371.62B
16,MA,Mastercard Incorporated,443.90B,475.83,-0.76%,25.10B
17,XOM,Exxon Mobil Corporation,441.50B,111.27,-0.18%,344.58B
18,JNJ,Johnson & Johnson,381.18B,158.18,-0.65%,85.16B
19,PG,The Procter & Gamble Company,379.73B,161.38,-0.07%,83.93B
20,HD,"The Home Depot, Inc.",369.88B,373.23,-0.54%,152.67B
21,ORCL,Oracle Corporation,345.05B,125.54,0.01%,52.51B
22,COST,Costco Wholesale Corporation,321.82B,725.63,-0.86%,248.83B
23,ABBV,AbbVie Inc.,314.22B,177.88,-1.83%,54.32B
24,AMD,"Advanced Micro Devices, Inc.",308.71B,191.06,2.14%,22.68B
25,MRK,"Merck & Co., Inc.",307.77B,121.52,0.84%,60.12B
26,CVX,Chevron Corporation,288.90B,155.55,-0.10%,200.95B
27,CRM,"Salesforce, Inc.",285.50B,294.33,-2.96%,34.86B
28,BAC,Bank of America Corporation,279.41B,35.41,-0.78%,98.58B
29,NFLX,"Netflix, Inc.",262.20B,605.88,-1.16%,33.72B
30,KO,The Coca-Cola Company,258.23B,59.88,-1.02%,45.75B
31,ACN,Accenture plc,234.87B,374.60,-0.95%,64.59B
32,PEP,"PepsiCo, Inc.",226.31B,164.66,-0.07%,91.47B
33,LIN,Linde plc,225.49B,468.23,-1.20%,32.85B
34,ADBE,Adobe Inc.,222.86B,492.46,-13.67%,19.41B
35,TMO,Thermo Fisher Scientific Inc.,222.74B,584.15,-0.13%,42.86B
36,WFC,Wells Fargo & Company,205.74B,57.51,0.24%,82.60B
37,DIS,The Walt Disney Company,205.35B,111.95,-0.10%,88.94B
38,MCD,McDonald's Corporation,201.55B,279.14,-0.92%,25.49B
39,ABT,Abbott Laboratories,200.40B,115.49,-2.83%,40.11B
40,CSCO,"Cisco Systems, Inc.",198.13B,48.93,-1.73%,57.23B
41,TMUS,"T-Mobile US, Inc.",192.05B,161.81,-0.64%,78.56B
42,QCOM,QUALCOMM Incorporated,186.60B,167.20,-0.74%,36.29B
43,GE,General Electric Company,184.64B,168.89,1.28%,67.95B
44,DHR,Danaher Corporation,184.48B,249.40,-1.51%,23.89B
45,INTC,Intel Corporation,180.28B,42.64,-0.26%,54.23B
46,IBM,International Business Machines Corporation,175.16B,191.07,-1.22%,61.86B
47,INTU,Intuit Inc.,175.13B,625.52,-3.77%,15.09B
48,CAT,Caterpillar Inc.,173.27B,346.97,1.48%,67.06B
49,CMCSA,Comcast Corporation,169.88B,42.77,-0.12%,121.57B
50,VZ,Verizon Communications Inc.,166.03B,39.49,-0.70%,133.97B
51,AMAT,"Applied Materials, Inc.",165.06B,198.65,-1.05%,26.49B
52,PFE,Pfizer Inc.,158.21B,27.94,-0.68%,58.50B
53,AXP,American Express Company,158.14B,218.46,-0.91%,55.59B
54,UBER,"Uber Technologies, Inc.",157.96B,76.07,-2.03%,37.28B
55,TXN,Texas Instruments Incorporated,157.00B,172.52,0.81%,17.52B
56,NOW,"ServiceNow, Inc.",152.50B,743.91,-4.56%,8.97B
57,BX,Blackstone Inc.,151.45B,124.97,0.14%,8.02B
58,NKE,"NIKE, Inc.",150.97B,99.64,-0.62%,51.54B
59,UNP,Union Pacific Corporation,148.87B,244.13,-0.78%,24.12B
60,PM,Philip Morris International Inc.,146.35B,94.27,0.34%,35.17B
61,MS,Morgan Stanley,144.53B,88.38,-0.81%,54.14B
62,AMGN,Amgen Inc.,144.09B,268.87,-0.98%,28.19B
63,COP,Conoco Phillips,141.22B,120.04,0.22%,58.57B
64,LOW,"Lowe's Companies, Inc.",140.48B,244.73,0.04%,86.38B
65,ISRG,"Intuitive Surgical, Inc.",140.46B,396.28,3.11%,7.12B
66,SYK,Stryker Corporation,133.94B,352.23,-0.96%,20.50B
67,SPGI,S&P Global Inc.,132.80B,422.81,-0.16%,12.50B
68,UPS,"United Parcel Service, Inc.",130.77B,153.37,-0.34%,90.96B
69,HON,Honeywell International Inc.,128.93B,197.69,0.68%,36.66B
70,GS,"The Goldman Sachs Group, Inc.",126.06B,387.21,-0.36%,46.25B
71,RTX,RTX Corp,123.56B,92.93,1.28%,68.92B
72,NEE,"NextEra Energy, Inc.",123.31B,60.08,0.91%,28.11B
73,SCHW,The Charles Schwab Corporation,122.31B,67.04,0.66%,18.84B
74,T,AT&T Inc.,121.96B,17.05,0.24%,122.43B
75,PGR,The Progressive Corporation,120.00B,204.88,1.49%,62.11B
76,BLK,"BlackRock, Inc.",119.53B,802.52,-0.78%,17.86B
77,ELV,Elevance Health Inc.,119.38B,513.08,0.49%,171.34B
78,PLD,"Prologis, Inc.",119.33B,129.02,-0.59%,8.02B
79,LRCX,Lam Research Corporation,119.32B,910.09,-1.68%,14.32B
80,ETN,Eaton Corporation plc,119.01B,297.90,-0.80%,23.20B
81,BKNG,Booking Holdings Inc.,116.66B,"3,413.98",-2.78%,21.37B
82,BA,The Boeing Company,111.37B,182.53,0.76%,77.79B
83,TJX,"The TJX Companies, Inc.",111.18B,97.55,-1.10%,54.22B
84,MDT,Medtronic plc,110.97B,83.57,-0.97%,32.32B
85,C,Citigroup Inc.,110.11B,57.61,0.91%,78.46B
86,DE,Deere & Company,106.72B,383.39,0.83%,60.79B
87,REGN,"Regeneron Pharmaceuticals, Inc.",105.86B,964.47,0.57%,13.12B
88,BMY,Bristol-Myers Squibb Company,105.84B,52.34,-0.29%,45.01B
89,LMT,Lockheed Martin Corporation,105.31B,435.82,0.01%,67.57B
90,VRTX,Vertex Pharmaceuticals Incorporated,105.31B,407.69,-0.26%,9.87B
91,CB,Chubb Limited,103.99B,256.29,-0.52%,49.74B
92,MU,"Micron Technology, Inc.",102.94B,93.25,1.99%,16.18B
93,CI,Cigna Corporation,102.92B,352.05,0.73%,195.27B
94,ABNB,"Airbnb, Inc.",102.47B,160.64,-3.48%,9.92B
95,SBUX,Starbucks Corporation,102.04B,90.12,-1.68%,36.69B
96,MMC,"Marsh & McLennan Companies, Inc.",101.45B,206.34,-0.67%,22.74B
97,ADP,"Automatic Data Processing, Inc.",99.45B,242.09,-0.48%,18.59B
98,CVS,CVS Health Corporation,97.40B,77.40,1.28%,357.78B
99,BSX,Boston Scientific Corporation,97.17B,66.23,-0.94%,14.24B
100,ADI,"Analog Devices, Inc.",96.80B,195.20,0.40%,11.57B
101,MDLZ,"Mondelez International, Inc.",95.26B,70.75,-0.30%,36.02B
102,KLAC,KLA Corporation,92.49B,683.90,-1.22%,9.67B
103,AMT,American Tower Corporation,92.03B,197.34,-0.93%,11.14B
104,GILD,"Gilead Sciences, Inc.",91.80B,73.69,-0.70%,27.12B
105,PANW,"Palo Alto Networks, Inc.",91.17B,282.16,-1.88%,7.53B
106,FI,"Fiserv, Inc.",88.34B,149.63,-0.21%,19.09B
107,ANET,"Arista Networks, Inc.",86.83B,277.73,-2.21%,5.86B
108,HCA,"HCA Healthcare, Inc.",85.16B,321.97,-0.87%,64.97B
109,SHW,The Sherwin-Williams Company,85.04B,334.66,-0.08%,23.05B
110,WM,"Waste Management, Inc.",84.55B,210.53,0.10%,20.43B
111,SNPS,"Synopsys, Inc.",83.90B,550.03,-1.66%,6.13B
112,CDNS,"Cadence Design Systems, Inc.",81.25B,298.44,-2.55%,4.09B
113,EQIX,"Equinix, Inc.",80.47B,850.39,-1.66%,8.19B
