ID,Call_Section,Company_AName,Ticker,Text,sum of +ve,sum of -ve,sum of neutral
4465194,A,"Take-Two Interactive Software, Inc.",TTWO,CEO Strauss Zelnick on Q3 2021 Results - Earning Call Transcript,3.0,0.0,4.0
4465194,Q,"Take-Two Interactive Software, Inc.",TTWO,CEO Strauss Zelnick on Q3 2021 Results - Earning Call Transcript,0.0,0.0,7.0
4465205,A,MGM Resorts International,MGM,CEO Bill Hornbuckle on Q3 2021 Results - Earnings Call Transcript,0.0,0.0,15.0
4465205,Q,MGM Resorts International,MGM,CEO Bill Hornbuckle on Q3 2021 Results - Earnings Call Transcript,0.0,1.0,14.0
4465213,A,"Qorvo, Inc.",QRVO,CEO Bob Bruggeworth on Q3 2021 Results - Earning Call Transcript,2.0,4.0,16.0
4465213,Q,"Qorvo, Inc.",QRVO,CEO Bob Bruggeworth on Q3 2021 Results - Earning Call Transcript,1.0,1.0,22.0
4465222,A,"Equinix, Inc.",EQIX,CEO Charles Meyers On Q3 2021 Results - Earnings Call Transcript,6.0,0.0,15.0
4465222,Q,"Equinix, Inc.",EQIX,CEO Charles Meyers On Q3 2021 Results - Earnings Call Transcript,2.0,0.0,16.0
4465233,A,"FLEETCOR Technologies, Inc.",FLT,CEO Ron Clarke on Q3 2021 Results - Earning Call Transcript,3.0,2.0,24.0
4465233,Q,"FLEETCOR Technologies, Inc.",FLT,CEO Ron Clarke on Q3 2021 Results - Earning Call Transcript,1.0,2.0,19.0
4465237,A,Booking Holdings Inc.,BKNG,CEO Glenn Fogel on Q3 2021 Results - Earnings Call Transcript,2.0,0.0,6.0
4465237,Q,Booking Holdings Inc.,BKNG,CEO Glenn Fogel on Q3 2021 Results - Earnings Call Transcript,0.0,1.0,8.0
4465248,A,"PTC, Inc.",PTC,CEO James Heppelmann on Q4 2021 Results - Earnings Call Transcript,0.0,1.0,12.0
4465248,Q,"PTC, Inc.",PTC,CEO James Heppelmann on Q4 2021 Results - Earnings Call Transcript,0.0,0.0,10.0
4465294,A,Trimble Inc.,TRMB,CEO Rob Painter Q3 2021 Results - Earnings Call Transcript,7.0,0.0,14.0
4465294,Q,Trimble Inc.,TRMB,CEO Rob Painter Q3 2021 Results - Earnings Call Transcript,1.0,2.0,19.0
4465400,A,Iron Mountain Incorporated,IRM,CEO Bill Meaney on Q3 2021 Results - Earnings Call Transcript,0.0,0.0,2.0
4465400,Q,Iron Mountain Incorporated,IRM,CEO Bill Meaney on Q3 2021 Results - Earnings Call Transcript,0.0,0.0,5.0
4465402,A,"CenterPoint Energy, Inc.",CNP,CEO David Lesar on Q3 2021 results - Earnings Call Transcript,1.0,0.0,12.0
4465402,Q,"CenterPoint Energy, Inc.",CNP,CEO David Lesar on Q3 2021 results - Earnings Call Transcript,0.0,0.0,15.0
4465443,A,Marathon Oil Corporation,MRO,CEO Lee Tillman on Q3 2021 Results - Earnings Call Transcript,4.0,1.0,14.0
4465443,Q,Marathon Oil Corporation,MRO,CEO Lee Tillman on Q3 2021 Results - Earnings Call Transcript,0.0,2.0,13.0
4465448,A,Ingersoll Rand Inc.'s,IR,CEO Vicente Reynal on Q3 2021 Results - Earnings Call Transcript,12.0,0.0,10.0
4465448,Q,Ingersoll Rand Inc.'s,IR,CEO Vicente Reynal on Q3 2021 Results - Earnings Call Transcript,2.0,3.0,17.0
4465453,A,Aptiv PLC,APTV,CEO Kevin Clark on Q3 2021 results - Earnings Call Transcript,2.0,0.0,13.0
4465453,Q,Aptiv PLC,APTV,CEO Kevin Clark on Q3 2021 results - Earnings Call Transcript,2.0,1.0,12.0
4465467,A,Cigna Corporation,CI,CEO David Cordani on Q3 2021 Results - Earnings Call Transcript,4.0,0.0,7.0
4465467,Q,Cigna Corporation,CI,CEO David Cordani on Q3 2021 Results - Earnings Call Transcript,0.0,0.0,15.0
4465483,A,The AES Corporation,AES,CEO Andres Gluski on Q3 2021 Results - Earnings Call Transcript,2.0,0.0,13.0
4465483,Q,The AES Corporation,AES,CEO Andres Gluski on Q3 2021 Results - Earnings Call Transcript,1.0,0.0,16.0
4465486,A,"Fidelity National Information Services, Inc.",FIS,CEO Gary Norcross on Q3 2021 Results - Earnings Call Transcript,10.0,0.0,6.0
4465486,Q,"Fidelity National Information Services, Inc.",FIS,CEO Gary Norcross on Q3 2021 Results - Earnings Call Transcript,0.0,1.0,15.0
4465493,A,The Allstate Corporation,ALL,CEO Tom Wilson on Q3 2021 Results - Earnings Call Transcript,2.0,0.0,8.0
4465493,Q,The Allstate Corporation,ALL,CEO Tom Wilson on Q3 2021 Results - Earnings Call Transcript,0.0,1.0,8.0
4465511,A,Albemarle Corporation,ALB,CEO Kent Masters on Q3 2021 Results - Earnings Call Transcript,0.0,0.0,16.0
4465511,Q,Albemarle Corporation,ALB,CEO Kent Masters on Q3 2021 Results - Earnings Call Transcript,1.0,0.0,27.0
4465513,A,"Huntington Ingalls Industries, Inc.'s",HII,CEO Mike Petters on Q3 2021 Results - Earnings Call Transcript,2.0,0.0,16.0
4465513,Q,"Huntington Ingalls Industries, Inc.'s",HII,CEO Mike Petters on Q3 2021 Results - Earnings Call Transcript,0.0,2.0,15.0
4465522,A,Vulcan Materials Company,VMC,CEO Tom Hill on Q3 2021 results - Earnings Call Transcript,10.0,1.0,16.0
4465522,Q,Vulcan Materials Company,VMC,CEO Tom Hill on Q3 2021 results - Earnings Call Transcript,3.0,2.0,18.0
4465531,A,"Becton, Dickinson and Company's",BDX,CEO Tom Polen on Q4 2021 Results - Earnings Call Transcript,1.0,0.0,6.0
4465531,Q,"Becton, Dickinson and Company's",BDX,CEO Tom Polen on Q4 2021 Results - Earnings Call Transcript,1.0,0.0,10.0
4465532,A,"Regeneron Pharmaceuticals, Inc.",REGN,CEO Leonard Schleifer on Q3 2021 Results - Earnings Call Transcript,0.0,0.0,3.0
4465532,Q,"Regeneron Pharmaceuticals, Inc.",REGN,CEO Leonard Schleifer on Q3 2021 Results - Earnings Call Transcript,0.0,0.0,13.0
4465533,A,"NRG Energy, Inc.'s",NRG,CEO Mauricio Gutierrez on Q3 2021 Results - Earnings Call Transcript,2.0,0.0,19.0
4465533,Q,"NRG Energy, Inc.'s",NRG,CEO Mauricio Gutierrez on Q3 2021 Results - Earnings Call Transcript,0.0,2.0,16.0
4465535,A,Zimmer Biomet Holdings Inc.,ZBH,CEO Bryan Hanson on Q3 2021 Results - Earnings Call Transcript,3.0,2.0,21.0
4465535,Q,Zimmer Biomet Holdings Inc.,ZBH,CEO Bryan Hanson on Q3 2021 Results - Earnings Call Transcript,0.0,4.0,17.0
4465537,A,Howmet Aerospace's,HWM,CEO John Plant on Q3 2021 Results - Earnings Call Transcript,1.0,3.0,19.0
4465537,Q,Howmet Aerospace's,HWM,CEO John Plant on Q3 2021 Results - Earnings Call Transcript,1.0,2.0,23.0
4465538,A,Zoetis Inc.,ZTS,CEO Kristin Peck on Q3 2021 Results - Earnings Call Transcript,1.0,0.0,1.0
4465538,Q,Zoetis Inc.,ZTS,CEO Kristin Peck on Q3 2021 Results - Earnings Call Transcript,1.0,0.0,11.0
4465541,A,DENTSPLY SIRONA Inc.,XRAY,CEO Don Casey on Q3 2021 Results - Earnings Call Transcript,4.0,1.0,14.0
4465541,Q,DENTSPLY SIRONA Inc.,XRAY,CEO Don Casey on Q3 2021 Results - Earnings Call Transcript,1.0,0.0,19.0
4465545,A,"EPAM Systems, Inc.",EPAM,CEO Arkadiy Dobkin on Q3 2021 Results - Earnings Call Transcript,7.0,1.0,15.0
4465545,Q,"EPAM Systems, Inc.",EPAM,CEO Arkadiy Dobkin on Q3 2021 Results - Earnings Call Transcript,2.0,2.0,19.0
4465549,A,Duke Energy Corporation,DUK,CEO Lynn Good on Q3 2021 Results - Earnings Call Transcript,2.0,0.0,21.0
4465549,Q,Duke Energy Corporation,DUK,CEO Lynn Good on Q3 2021 Results - Earnings Call Transcript,0.0,0.0,23.0
4465551,A,"Corteva, Inc.",CTVA,CEO Chuck Magro on Q3 2021 results - Earnings Call Transcript,1.0,0.0,4.0
4465551,Q,"Corteva, Inc.",CTVA,CEO Chuck Magro on Q3 2021 results - Earnings Call Transcript,4.0,0.0,11.0
4465554,A,APA Corporation,APA,CEO John Christmann on Q3 2021 Results - Earnings Call Transcript,2.0,0.0,23.0
4465554,Q,APA Corporation,APA,CEO John Christmann on Q3 2021 Results - Earnings Call Transcript,0.0,0.0,23.0
4465557,A,"MetLife, Inc.",MET,CEO Michel Khalaf on Q3 2021 Results - Earnings Call Transcript,1.0,1.0,6.0
4465557,Q,"MetLife, Inc.",MET,CEO Michel Khalaf on Q3 2021 Results - Earnings Call Transcript,0.0,2.0,11.0
4465559,A,"CF Industries Holdings, Inc.",CF,CEO Tony Will on Q3 2021 Results - Earnings Call Transcript,5.0,1.0,16.0
4465559,Q,"CF Industries Holdings, Inc.",CF,CEO Tony Will on Q3 2021 Results - Earnings Call Transcript,1.0,0.0,16.0
4465560,A,Pioneer Natural Resources Company,PXD,CEO Scott Sheffield on Q3 Results - Earnings Transcript Call,5.0,1.0,17.0
4465560,Q,Pioneer Natural Resources Company,PXD,CEO Scott Sheffield on Q3 Results - Earnings Transcript Call,2.0,0.0,20.0
4465563,A,PPL Corporation's,PPL,CEO Vincent Sorgi on Q3 2021 Results - Earnings Call Transcript,2.0,0.0,20.0
4465563,Q,PPL Corporation's,PPL,CEO Vincent Sorgi on Q3 2021 Results - Earnings Call Transcript,2.0,0.0,18.0
4465568,A,"Host Hotels & Resorts, Inc.",HST,CEO Jim Risoleo on Q3 2021 Results - Earnings Call Transcript,6.0,2.0,5.0
4465568,Q,"Host Hotels & Resorts, Inc.",HST,CEO Jim Risoleo on Q3 2021 Results - Earnings Call Transcript,1.0,1.0,11.0
4465576,A,"ANSYS, Inc.'s",ANSS,CEO Ajei Gopal on Q3 2021 Results - Earnings Call Transcript,3.0,0.0,7.0
4465576,Q,"ANSYS, Inc.'s",ANSS,CEO Ajei Gopal on Q3 2021 Results - Earnings Call Transcript,2.0,0.0,7.0
4465584,A,"Quanta Services, Inc.",PWR,CEO Duke Austin on Q3 2021 Results - Earnings Call Transcript,1.0,0.0,13.0
4465584,Q,"Quanta Services, Inc.",PWR,CEO Duke Austin on Q3 2021 Results - Earnings Call Transcript,0.0,0.0,22.0
4465655,A,"Builders FirstSource, Inc.",BLDR,CEO Dave Flitman on Q3 2021 Results - Earnings Call Transcript,10.0,0.0,9.0
4465655,Q,"Builders FirstSource, Inc.",BLDR,CEO Dave Flitman on Q3 2021 Results - Earnings Call Transcript,5.0,1.0,18.0
4465668,A,Parker-Hannifin Corp.,PH,CEO Thomas Williams on Q1 Fiscal 2022 Results - Earnings Call Transcript,3.0,2.0,14.0
4465668,Q,Parker-Hannifin Corp.,PH,CEO Thomas Williams on Q1 Fiscal 2022 Results - Earnings Call Transcript,2.0,2.0,16.0
4465677,A,Ameren's,AEE,CEO Warner Baxter on Q3 2021 Results - Earnings Call Transcript,2.0,1.0,15.0
