ID,Company_Name,Ticker,GICS Sector,Text,QUARTER,QTR,Call_Section,day_date,time,Sum_of_Positive,Sum_of_Negative,Sum_of_Neutral,Q&A_Tot,Q&A_Tot_%+Ve,Q&A_Tot_%-Ve,Q&A_+Ve-Ve,Q&A_%+Ve_of_+Ve-Ve,Q&A_%-Ve_of_+Ve-Ve,Comp_Stmnt_Tot,Comp_Stmnt_Tot_%+Ve,Comp_Stmnt_Tot_%-Ve,Comp_Stmnt_+Ve_-Ve,Comp_Stmnt_%+Ve_of_+Ve-Ve,Comp_Stmnt_%-Ve_of_+Ve-Ve,day_date_formatted,7Day_Avg_%Change,7Day_Avg_%Change_Orig
4465194,"Take-Two Interactive Software, Inc.",TTWO,Communication Services,CEO Strauss Zelnick on Q3 2021 Results - Earning Call Transcript,Q3 2021,2021_03,Q&A Session,11/4/2021,1:11:09,0,0,6,6,0,0,0,,,0,0,0,0,0,0,11/4/2021,0.0122,0.0122
4465194,"Take-Two Interactive Software, Inc.",TTWO,Communication Services,CEO Strauss Zelnick on Q3 2021 Results - Earning Call Transcript,Q3 2021,2021_03,company_statement,11/4/2021,1:11:09,9,1,3,0,0,0,0,0,0,13,69.23076923,7.692307692,10,90,10,11/4/2021,0.0122,0.0122
4465205,MGM Resorts International,MGM,Consumer Discretionary,CEO Bill Hornbuckle on Q3 2021 Results - Earnings Call Transcript,Q3 2021,2021_03,Q&A Session,11/4/2021,1:41:04,2,0,13,15,13.33333333,0,2,100,0,0,0,0,0,0,0,11/4/2021,-0.0144,-0.0144
4465205,MGM Resorts International,MGM,Consumer Discretionary,CEO Bill Hornbuckle on Q3 2021 Results - Earnings Call Transcript,Q3 2021,2021_03,company_statement,11/4/2021,1:41:04,11,0,2,0,0,0,0,0,0,13,84.61538462,0,11,100,0,11/4/2021,-0.0144,-0.0144
4465210,"Etsy, Inc.",ETSY,Consumer Discretionary,CEO Josh Silverman on Q3 2021 Results - Earnings Call Transcript,Q3 2021,2021_03,Q&A Session,11/4/2021,1:50:04,0,0,1,1,0,0,0,,,0,0,0,0,0,0,11/4/2021,0.0689,0.0689
4465210,"Etsy, Inc.",ETSY,Consumer Discretionary,CEO Josh Silverman on Q3 2021 Results - Earnings Call Transcript,Q3 2021,2021_03,company_statement,11/4/2021,1:50:04,0,0,1,0,0,0,0,0,0,1,0,0,0,,,11/4/2021,0.0689,0.0689
4465213,"Qorvo, Inc.",QRVO,Information Technology,CEO Bob Bruggeworth on Q3 2021 Results - Earning Call Transcript,Q3 2021,2021_03,Q&A Session,11/4/2021,1:54:25,1,2,14,17,5.882352941,11.76470588,3,33.33333333,66.66666667,0,0,0,0,0,0,11/4/2021,-0.0719,-0.0719
4465213,"Qorvo, Inc.",QRVO,Information Technology,CEO Bob Bruggeworth on Q3 2021 Results - Earning Call Transcript,Q3 2021,2021_03,company_statement,11/4/2021,1:54:25,7,2,1,0,0,0,0,0,0,10,70,20,9,77.77777778,22.22222222,11/4/2021,-0.0719,-0.0719
4465222,"Equinix, Inc.",EQIX,Real Estate,CEO Charles Meyers On Q3 2021 Results - Earnings Call Transcript,Q3 2021,2021_03,Q&A Session,11/4/2021,2:12:03,3,0,17,20,15,0,3,100,0,0,0,0,0,0,0,11/4/2021,-0.0599,-0.0599
4465222,"Equinix, Inc.",EQIX,Real Estate,CEO Charles Meyers On Q3 2021 Results - Earnings Call Transcript,Q3 2021,2021_03,company_statement,11/4/2021,2:12:03,8,1,1,0,0,0,0,0,0,10,80,10,9,88.88888889,11.11111111,11/4/2021,-0.0599,-0.0599
