ID,Call_Section,GICS Sector,QTR,day_date,Company_AName,Ticker,Text,sum of +ve,sum of -ve,sum of neutral,tone,price_chng_5day,price_chng_2day,price_chng_1day,date_compatible
4465194,A,Communication Services,2021_03,11/4/2021,"Take-Two Interactive Software, Inc.",TTWO,CEO Strauss Zelnick on Q3 2021 Results - Earning Call Transcript,3.0,0.0,4.0,1.0,0.015,,,2021-11-04
4465194,Q,Communication Services,2021_03,11/4/2021,"Take-Two Interactive Software, Inc.",TTWO,CEO Strauss Zelnick on Q3 2021 Results - Earning Call Transcript,0.0,0.0,7.0,,0.015,,,2021-11-04
4465205,A,Consumer Discretionary,2021_03,11/4/2021,MGM Resorts International,MGM,CEO Bill Hornbuckle on Q3 2021 Results - Earnings Call Transcript,0.0,0.0,15.0,,-0.006,,,2021-11-04
4465205,Q,Consumer Discretionary,2021_03,11/4/2021,MGM Resorts International,MGM,CEO Bill Hornbuckle on Q3 2021 Results - Earnings Call Transcript,0.0,1.0,14.0,-1.0,-0.006,,,2021-11-04
4465213,A,Information Technology,2021_03,11/4/2021,"Qorvo, Inc.",QRVO,CEO Bob Bruggeworth on Q3 2021 Results - Earning Call Transcript,2.0,4.0,16.0,-0.3333333333333333,-0.087,,,2021-11-04
4465213,Q,Information Technology,2021_03,11/4/2021,"Qorvo, Inc.",QRVO,CEO Bob Bruggeworth on Q3 2021 Results - Earning Call Transcript,1.0,1.0,22.0,0.0,-0.087,,,2021-11-04
4465222,A,Real Estate,2021_03,11/4/2021,"Equinix, Inc.",EQIX,CEO Charles Meyers On Q3 2021 Results - Earnings Call Transcript,6.0,0.0,15.0,1.0,-0.064,,,2021-11-04
4465222,Q,Real Estate,2021_03,11/4/2021,"Equinix, Inc.",EQIX,CEO Charles Meyers On Q3 2021 Results - Earnings Call Transcript,2.0,0.0,16.0,1.0,-0.064,,,2021-11-04
4465233,A,,2021_03,11/4/2021,"FLEETCOR Technologies, Inc.",FLT,CEO Ron Clarke on Q3 2021 Results - Earning Call Transcript,3.0,2.0,24.0,0.2,-0.012,,,2021-11-04
4465233,Q,,2021_03,11/4/2021,"FLEETCOR Technologies, Inc.",FLT,CEO Ron Clarke on Q3 2021 Results - Earning Call Transcript,1.0,2.0,19.0,-0.3333333333333333,-0.012,,,2021-11-04
4465237,A,Consumer Discretionary,2021_03,11/4/2021,Booking Holdings Inc.,BKNG,CEO Glenn Fogel on Q3 2021 Results - Earnings Call Transcript,2.0,0.0,6.0,1.0,0.059,,,2021-11-04
4465237,Q,Consumer Discretionary,2021_03,11/4/2021,Booking Holdings Inc.,BKNG,CEO Glenn Fogel on Q3 2021 Results - Earnings Call Transcript,0.0,1.0,8.0,-1.0,0.059,,,2021-11-04
4465248,A,Information Technology,2021_04,11/4/2021,"PTC, Inc.",PTC,CEO James Heppelmann on Q4 2021 Results - Earnings Call Transcript,0.0,1.0,12.0,-1.0,-0.035,,,2021-11-04
4465248,Q,Information Technology,2021_04,11/4/2021,"PTC, Inc.",PTC,CEO James Heppelmann on Q4 2021 Results - Earnings Call Transcript,0.0,0.0,10.0,,-0.035,,,2021-11-04
4465294,A,Information Technology,2021_03,11/4/2021,Trimble Inc.,TRMB,CEO Rob Painter Q3 2021 Results - Earnings Call Transcript,7.0,0.0,14.0,1.0,-0.009,,,2021-11-04
4465294,Q,Information Technology,2021_03,11/4/2021,Trimble Inc.,TRMB,CEO Rob Painter Q3 2021 Results - Earnings Call Transcript,1.0,2.0,19.0,-0.3333333333333333,-0.009,,,2021-11-04
4465400,A,Real Estate,2021_03,11/4/2021,Iron Mountain Incorporated,IRM,CEO Bill Meaney on Q3 2021 Results - Earnings Call Transcript,0.0,0.0,2.0,,0.02,,,2021-11-04
4465400,Q,Real Estate,2021_03,11/4/2021,Iron Mountain Incorporated,IRM,CEO Bill Meaney on Q3 2021 Results - Earnings Call Transcript,0.0,0.0,5.0,,0.02,,,2021-11-04
4465402,A,Utilities,2021_03,11/4/2021,"CenterPoint Energy, Inc.",CNP,CEO David Lesar on Q3 2021 results - Earnings Call Transcript,1.0,0.0,12.0,1.0,0.015,,,2021-11-04
4465402,Q,Utilities,2021_03,11/4/2021,"CenterPoint Energy, Inc.",CNP,CEO David Lesar on Q3 2021 results - Earnings Call Transcript,0.0,0.0,15.0,,0.015,,,2021-11-04
4465443,A,Energy,2021_03,11/4/2021,Marathon Oil Corporation,MRO,CEO Lee Tillman on Q3 2021 Results - Earnings Call Transcript,4.0,1.0,14.0,0.6,0.02,,,2021-11-04
4465443,Q,Energy,2021_03,11/4/2021,Marathon Oil Corporation,MRO,CEO Lee Tillman on Q3 2021 Results - Earnings Call Transcript,0.0,2.0,13.0,-1.0,0.02,,,2021-11-04
4465448,A,Industrials,2021_03,11/4/2021,Ingersoll Rand Inc.'s,IR,CEO Vicente Reynal on Q3 2021 Results - Earnings Call Transcript,12.0,0.0,10.0,1.0,0.06,,,2021-11-04
4465448,Q,Industrials,2021_03,11/4/2021,Ingersoll Rand Inc.'s,IR,CEO Vicente Reynal on Q3 2021 Results - Earnings Call Transcript,2.0,3.0,17.0,-0.2,0.06,,,2021-11-04
4465453,A,Consumer Discretionary,2021_03,11/4/2021,Aptiv PLC,APTV,CEO Kevin Clark on Q3 2021 results - Earnings Call Transcript,2.0,0.0,13.0,1.0,-0.014,,,2021-11-04
4465453,Q,Consumer Discretionary,2021_03,11/4/2021,Aptiv PLC,APTV,CEO Kevin Clark on Q3 2021 results - Earnings Call Transcript,2.0,1.0,12.0,0.3333333333333333,-0.014,,,2021-11-04
4465467,A,Health Care,2021_03,11/4/2021,Cigna Corporation,CI,CEO David Cordani on Q3 2021 Results - Earnings Call Transcript,4.0,0.0,7.0,1.0,0.005,,,2021-11-04
4465467,Q,Health Care,2021_03,11/4/2021,Cigna Corporation,CI,CEO David Cordani on Q3 2021 Results - Earnings Call Transcript,0.0,0.0,15.0,,0.005,,,2021-11-04
4465483,A,Utilities,2021_03,11/4/2021,The AES Corporation,AES,CEO Andres Gluski on Q3 2021 Results - Earnings Call Transcript,2.0,0.0,13.0,1.0,-0.039,,,2021-11-04
4465483,Q,Utilities,2021_03,11/4/2021,The AES Corporation,AES,CEO Andres Gluski on Q3 2021 Results - Earnings Call Transcript,1.0,0.0,16.0,1.0,-0.039,,,2021-11-04
4465486,A,Financials,2021_03,11/4/2021,"Fidelity National Information Services, Inc.",FIS,CEO Gary Norcross on Q3 2021 Results - Earnings Call Transcript,10.0,0.0,6.0,1.0,0.045,,,2021-11-04
4465486,Q,Financials,2021_03,11/4/2021,"Fidelity National Information Services, Inc.",FIS,CEO Gary Norcross on Q3 2021 Results - Earnings Call Transcript,0.0,1.0,15.0,-1.0,0.045,,,2021-11-04
4465493,A,Financials,2021_03,11/4/2021,The Allstate Corporation,ALL,CEO Tom Wilson on Q3 2021 Results - Earnings Call Transcript,2.0,0.0,8.0,1.0,-0.074,,,2021-11-04
4465493,Q,Financials,2021_03,11/4/2021,The Allstate Corporation,ALL,CEO Tom Wilson on Q3 2021 Results - Earnings Call Transcript,0.0,1.0,8.0,-1.0,-0.074,,,2021-11-04
4465511,A,Materials,2021_03,11/4/2021,Albemarle Corporation,ALB,CEO Kent Masters on Q3 2021 Results - Earnings Call Transcript,0.0,0.0,16.0,,0.07,,,2021-11-04
4465511,Q,Materials,2021_03,11/4/2021,Albemarle Corporation,ALB,CEO Kent Masters on Q3 2021 Results - Earnings Call Transcript,1.0,0.0,27.0,1.0,0.07,,,2021-11-04
4465513,A,Industrials,2021_03,11/4/2021,"Huntington Ingalls Industries, Inc.'s",HII,CEO Mike Petters on Q3 2021 Results - Earnings Call Transcript,2.0,0.0,16.0,1.0,-0.043,,,2021-11-04
4465513,Q,Industrials,2021_03,11/4/2021,"Huntington Ingalls Industries, Inc.'s",HII,CEO Mike Petters on Q3 2021 Results - Earnings Call Transcript,0.0,2.0,15.0,-1.0,-0.043,,,2021-11-04
